t_ms,qd_w,qd_x,qd_y,qd_z,fin0,fin1,fin2,fin3
814174.0,1.0,0.0,0.0,0.0,24.33094,27.966019,30.0,26.36492
814275.0,1.0,0.0,0.0,0.0,25.742882,29.908806,30.0,25.834078
814380.0,1.0,0.0,0.0,0.0,27.269817,28.499718,13.760284,12.530385
814481.0,1.0,0.0,0.0,0.0,-11.005304,-28.248451,-30.0,-12.756851
814583.0,1.0,0.0,0.0,0.0,-18.177038,-30.0,-25.954025,-14.131064
814684.0,1.0,0.0,0.0,0.0,-8.186121,-30.0,-20.289474,1.524406
814786.0,1.0,0.0,0.0,0.0,27.13517,-0.553554,2.311278,30.0
814887.0,1.0,0.0,0.0,0.0,30.0,-12.24007,-18.665422,23.57465
814988.0,1.0,0.0,0.0,0.0,3.717564,-26.708174,-30.0,0.425738
815089.0,1.0,0.0,0.0,0.0,11.644924,-25.496288,-30.0,7.141215
815190.0,1.0,0.0,0.0,0.0,14.669137,-22.066637,-30.0,6.735775
815291.0,1.0,0.0,0.0,0.0,4.923892,-24.265402,-30.0,-0.810707
815392.0,1.0,0.0,0.0,0.0,-3.385319,-30.0,-27.15675,-0.542066
815493.0,1.0,0.0,0.0,0.0,25.597933,-27.281746,-22.879681,30.0
815595.0,1.0,0.0,0.0,0.0,28.674231,-23.719162,-30.0,22.393391
815696.0,1.0,0.0,0.0,0.0,5.196821,-30.0,-28.084455,7.112366
815797.0,1.0,0.0,0.0,0.0,-4.642417,-30.0,-17.517761,7.83982
815898.0,1.0,0.0,0.0,0.0,-10.835694,-30.0,-10.167166,8.997141
815998.0,1.0,0.0,0.0,0.0,-18.235846,-30.0,-4.152213,7.611939
816099.0,1.0,0.0,0.0,0.0,-28.336613,-30.0,-5.042272,-3.378885
816202.0,1.0,0.0,0.0,0.0,-23.435911,-30.0,-8.480624,-1.916535
816302.0,1.0,0.0,0.0,0.0,-25.754532,-30.0,-12.224513,-7.979045
816407.0,1.0,0.0,0.0,0.0,-30.0,-28.524773,-9.844299,-11.319528
816509.0,1.0,0.0,0.0,0.0,-30.0,-25.852137,-12.353823,-16.501686
816610.0,1.0,0.0,0.0,0.0,-30.0,-20.658331,-8.244303,-17.585974
816710.0,1.0,0.0,0.0,0.0,-30.0,-14.728205,-2.783766,-18.055561
816812.0,1.0,0.0,0.0,0.0,-28.980091,16.278814,30.0,-15.258906
816913.0,1.0,0.0,0.0,0.0,-6.411071,21.978672,30.0,1.610258
817014.0,1.0,0.0,0.0,0.0,-4.941198,18.966089,30.0,6.092712
817115.0,1.0,0.0,0.0,0.0,3.578935,18.166615,30.0,15.412322
817218.0,1.0,0.0,0.0,0.0,9.314301,16.950378,30.0,22.363922
817319.0,1.0,0.0,0.0,0.0,10.818085,14.423693,30.0,26.394392
817421.0,1.0,0.0,0.0,0.0,-30.0,-20.223503,0.032895,-9.743601
817521.0,1.0,0.0,0.0,0.0,-25.960812,2.300444,30.0,1.738744
817622.0,1.0,0.0,0.0,0.0,-25.310024,5.729752,30.0,-1.039775
817723.0,1.0,0.0,0.0,0.0,-14.638347,7.292357,30.0,8.069296
817824.0,1.0,0.0,0.0,0.0,-11.147231,9.724877,30.0,9.127892
817925.0,1.0,0.0,0.0,0.0,-11.644307,9.600905,30.0,8.754786
818026.0,1.0,0.0,0.0,0.0,-12.094106,9.458976,30.0,8.446918
818127.0,1.0,0.0,0.0,0.0,-12.380489,9.358131,30.0,8.261381
818228.0,1.0,0.0,0.0,0.0,-12.329502,9.376598,30.0,8.293898
818333.0,1.0,0.0,0.0,0.0,-12.333076,9.37433,30.0,8.292594
818438.0,1.0,0.0,0.0,0.0,-12.326925,9.379133,30.0,8.293941
818539.0,1.0,0.0,0.0,0.0,-12.33911,9.377949,30.0,8.28294
818640.0,1.0,0.0,0.0,0.0,-12.335962,9.382036,30.0,8.282001
818742.0,1.0,0.0,0.0,0.0,-12.339924,9.380037,30.0,8.280038
818843.0,1.0,0.0,0.0,0.0,-12.341868,9.383574,30.0,8.274558
818944.0,1.0,0.0,0.0,0.0,-12.344117,9.385516,30.0,8.270367
819045.0,1.0,0.0,0.0,0.0,-12.354566,9.38183,30.0,8.263602
819146.0,1.0,0.0,0.0,0.0,-12.357309,9.382528,30.0,8.260164
819248.0,1.0,0.0,0.0,0.0,-12.351929,9.382879,30.0,8.265193
819349.0,1.0,0.0,0.0,0.0,-12.359961,9.381474,30.0,8.258564
819451.0,1.0,0.0,0.0,0.0,-12.360527,9.38468,30.0,8.254793
819552.0,1.0,0.0,0.0,0.0,-12.35461,9.387717,30.0,8.257674
819653.0,1.0,0.0,0.0,0.0,-12.353705,9.386792,30.0,8.259501
819754.0,1.0,0.0,0.0,0.0,-12.351477,9.387239,30.0,8.261282
819855.0,1.0,0.0,0.0,0.0,-12.359952,9.385013,30.0,8.255036
819956.0,1.0,0.0,0.0,0.0,-12.357701,9.385035,30.0,8.257263
820058.0,1.0,0.0,0.0,0.0,-12.360439,9.386121,30.0,8.253441
820159.0,1.0,0.0,0.0,0.0,-12.362777,9.386011,30.0,8.251212
820261.0,1.0,0.0,0.0,0.0,-12.360481,9.388029,30.0,8.25149
820371.0,1.0,0.0,0.0,0.0,-12.361399,9.388074,30.0,8.250526
820472.0,1.0,0.0,0.0,0.0,-12.364037,9.390125,30.0,8.245839
820573.0,1.0,0.0,0.0,0.0,-12.367221,9.390679,30.0,8.2421
820674.0,1.0,0.0,0.0,0.0,-12.363544,9.389948,30.0,8.246508
820775.0,1.0,0.0,0.0,0.0,-12.357631,9.392767,30.0,8.249603
820876.0,1.0,0.0,0.0,0.0,-12.364806,9.388488,30.0,8.246706
820977.0,1.0,0.0,0.0,0.0,-12.358386,9.395986,30.0,8.245628
821078.0,1.0,0.0,0.0,0.0,-12.369465,9.388659,30.0,8.241878
821179.0,1.0,0.0,0.0,0.0,-12.368917,9.390033,30.0,8.24105
821282.0,1.0,0.0,0.0,0.0,-12.36241,9.39694,30.0,8.240652
821383.0,1.0,0.0,0.0,0.0,-12.371027,9.3899,30.0,8.239071
821484.0,1.0,0.0,0.0,0.0,-12.36689,9.389135,30.0,8.243974
821585.0,1.0,0.0,0.0,0.0,-12.366344,9.397394,30.0,8.236261
821686.0,1.0,0.0,0.0,0.0,-12.366418,9.393694,30.0,8.239887
821787.0,1.0,0.0,0.0,0.0,-12.371008,9.397024,30.0,8.231969
821888.0,1.0,0.0,0.0,0.0,-12.367982,9.394573,30.0,8.237445
821989.0,1.0,0.0,0.0,0.0,-12.364319,9.399117,30.0,8.236563
822090.0,1.0,0.0,0.0,0.0,-12.372564,9.395551,30.0,8.231886
822191.0,1.0,0.0,0.0,0.0,-12.374718,9.391899,30.0,8.233382
822298.0,1.0,0.0,0.0,0.0,-12.374601,9.393097,30.0,8.232304
822402.0,1.0,0.0,0.0,0.0,-12.365159,9.398503,30.0,8.236339
822503.0,1.0,0.0,0.0,0.0,-12.383978,9.385561,30.0,8.230461
822604.0,1.0,0.0,0.0,0.0,-12.376482,9.392516,30.0,8.231
822705.0,1.0,0.0,0.0,0.0,-12.372703,9.394115,30.0,8.233181
822806.0,1.0,0.0,0.0,0.0,-12.373221,9.393428,30.0,8.233351
822907.0,1.0,0.0,0.0,0.0,-12.375895,9.39724,30.0,8.226866
823008.0,1.0,0.0,0.0,0.0,-12.383043,9.393817,30.0,8.223142
823109.0,1.0,0.0,0.0,0.0,-12.382999,9.394899,30.0,8.222101
823210.0,1.0,0.0,0.0,0.0,-12.376281,9.400836,30.0,8.222881
823313.0,1.0,0.0,0.0,0.0,-12.380932,9.395738,30.0,8.223331
823414.0,1.0,0.0,0.0,0.0,-12.374245,9.400974,30.0,8.224783
823515.0,1.0,0.0,0.0,0.0,-12.386065,9.392359,30.0,8.221578
823616.0,1.0,0.0,0.0,0.0,-12.374348,9.400291,30.0,8.225362
823717.0,1.0,0.0,0.0,0.0,-12.372916,9.403178,30.0,8.223904
823818.0,1.0,0.0,0.0,0.0,-12.374911,9.400506,30.0,8.224581
823919.0,1.0,0.0,0.0,0.0,-12.373565,9.402282,30.0,8.224155
824020.0,1.0,0.0,0.0,0.0,-12.375734,9.403069,30.0,8.221196
