t_ms,wx,wy,wz,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,d_theta,d_alpha,d_beta,q_w,q_x,q_y,q_z
718191.0,0.000201,0.000845,8.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.846142,0.057428,0.0,0.0,0.0,0.0,1.0,1e-06,3e-06,0.0
718293.0,0.000507,0.001761,0.001309,0.0,0.0,0.0,0.0,0.0,0.0,-9.73721,0.107715,0.0,0.0,0.0,0.0,1.0,-2.7e-05,7e-06,1.6e-05
718393.0,0.000201,-0.001599,-0.000523,0.0,0.0,0.0,0.0,0.0,0.0,-9.742339,0.108106,0.0,0.0,0.0,0.0,1.0,-9.3e-05,-5.4e-05,1e-06
718495.0,-0.00102,-0.001294,0.000699,0.0,0.0,0.0,0.0,0.0,0.0,-9.740848,0.101163,0.0,0.0,0.0,0.0,1.0,-0.000107,-0.000109,-4e-06
718597.0,-0.00041,0.002677,8.8e-05,0.0,0.01009,0.002415,0.0,0.003041,0.000695,-9.73526,0.098753,0.0,0.0,0.0,0.0,1.0,-0.000125,-0.000117,4e-06
718701.0,-0.000715,0.000234,-0.000523,0.005163,0.011179,-0.0028,0.001973,0.003336,-0.001261,-9.737076,0.097698,0.0,0.0,0.0,0.0,1.0,-0.000117,-0.000107,-1.5e-05
718803.0,0.000812,0.000539,-0.000218,0.005688,0.001093,0.00105,0.002124,-0.001515,0.000536,-9.738975,0.098665,0.0,0.0,0.0,0.0,1.0,-0.000113,-8.2e-05,-2e-05
718905.0,-0.001326,-0.001294,-0.000523,0.005738,0.010303,0.000209,0.002038,0.003336,8.2e-05,-9.736847,0.105422,0.0,0.0,0.0,0.0,1.0,-0.000129,-0.000107,-2.2e-05
719007.0,-0.003464,-0.000683,-0.000523,0.010962,0.011226,-0.002454,0.004951,0.003675,-0.001439,-9.736419,0.109815,0.0,0.0,0.0,0.0,1.0,-0.000222,-0.000198,-2.1e-05
719109.0,-0.00041,-0.000683,0.000393,0.011505,0.011331,0.001983,0.004974,0.003504,0.001394,-9.737327,0.106897,0.0,0.0,0.0,0.0,1.0,-0.00026,-0.000205,-1.6e-05
719214.0,0.001423,0.002372,-0.000523,0.011556,0.011336,-0.00381,0.004661,0.003263,-0.002507,-9.739709,0.099959,0.0,0.0,0.0,0.0,1.0,-0.000254,-0.000153,-5e-06
719316.0,-0.00041,-0.000683,-0.000523,0.016841,0.011331,0.001748,0.008152,0.003017,0.001634,-9.737696,0.104218,0.0,0.0,0.0,0.0,1.0,-0.000263,-0.000127,-1.7e-05
719418.0,-0.001326,-0.000988,-0.000218,0.017318,0.011298,-0.005619,0.007893,0.002767,-0.00384,-9.738776,0.097939,0.0,0.0,0.0,0.0,1.0,-0.000225,-0.000111,-0.0
719520.0,-0.000104,-0.000683,-0.000523,0.017378,0.0113,-0.005335,0.00732,0.002551,-0.003328,-9.730994,0.102736,0.0,0.0,0.0,0.0,1.0,-0.000192,-0.000121,1.9e-05
719622.0,-0.00102,-0.000377,-0.000218,0.022721,0.011301,0.001503,0.010931,0.002347,0.002238,-9.736506,0.109329,0.0,0.0,0.0,0.0,1.0,-0.000255,-0.000169,3e-06
719728.0,0.000201,-7.2e-05,0.001004,0.023257,0.00065,-0.00565,0.010437,-0.006384,-0.003607,-9.741108,0.102845,0.0,0.0,0.0,0.0,1.0,-0.000267,-0.000204,8e-06
719830.0,-0.000715,-7.2e-05,0.000699,0.023286,0.01023,-0.007066,0.009577,0.002087,-0.004461,-9.742807,0.106963,0.0,0.0,0.0,0.0,1.0,-0.00025,-0.000186,3.1e-05
719932.0,0.002339,-0.000377,-0.000829,0.028678,0.011249,-0.00735,0.013236,0.002755,-0.004321,-9.738137,0.098612,0.0,0.0,0.0,0.0,1.0,-0.000227,-0.000141,1.9e-05
720034.0,-0.00102,0.000845,0.000393,0.023717,0.011337,-0.006506,0.008005,0.002595,-0.003267,-9.741094,0.095966,0.0,0.0,0.0,0.0,1.0,-0.000219,-9.6e-05,1.7e-05
720136.0,-0.00102,-0.001294,8.8e-05,0.02317,0.011331,-0.009796,0.006871,0.00237,-0.005697,-9.735396,0.098709,0.0,0.0,0.0,0.0,1.0,-0.000204,-0.000111,3.3e-05
720240.0,-0.00041,-7.2e-05,8.8e-05,0.028531,0.011315,-0.004311,0.010824,0.002147,-0.000596,-9.742373,0.107772,0.0,0.0,0.0,0.0,1.0,-0.000254,-0.000143,4.5e-05
720342.0,0.001423,0.000539,0.000393,0.029042,0.011308,-0.010987,0.010293,0.001944,-0.00643,-9.735268,0.09978,0.0,0.0,0.0,0.0,1.0,-0.000278,-0.000168,3.4e-05
720445.0,0.000201,0.002677,-0.000829,0.029022,0.011293,-0.009777,0.009384,0.001763,-0.004861,-9.739966,0.10534,0.0,0.0,0.0,0.0,1.0,-0.000292,-0.000165,1.2e-05
720547.0,0.000507,0.000539,0.000699,0.034485,0.011287,-0.011269,0.013212,0.001605,-0.005698,-9.739465,0.095709,0.0,0.0,0.0,0.0,1.0,-0.000272,-0.000161,1.3e-05
720649.0,-0.00102,-0.001294,0.000393,0.034953,0.011273,-0.01153,0.012466,0.001454,-0.005429,-9.739133,0.10094,0.0,0.0,0.0,0.0,1.0,-0.00024,-0.000185,2.7e-05
720755.0,0.001118,-0.002515,-0.000829,0.029405,0.011264,-0.005365,0.006643,0.001316,0.000223,-9.742208,0.097507,0.0,0.0,0.0,0.0,1.0,-0.000234,-0.000181,1.6e-05
720857.0,-0.000715,0.000539,-0.000829,0.028813,0.011257,-0.009426,0.005537,0.001193,-0.003275,-9.740234,0.103233,0.0,0.0,0.0,0.0,1.0,-0.00026,-0.000276,3e-05
720959.0,-0.00041,0.002677,-0.00144,0.028694,0.011244,-0.006691,0.004953,0.001078,-0.000677,-9.739633,0.103985,0.0,0.0,0.0,0.0,1.0,-0.000227,-0.000271,2.4e-05
721061.0,-0.00102,-0.000683,8.8e-05,0.033844,0.022259,-0.006235,0.008891,0.010372,5.9e-05,-9.738867,0.096579,0.0,0.0,0.0,0.0,1.0,-0.000205,-0.000245,2.8e-05
721164.0,0.001118,0.000234,-0.000523,0.033893,0.012248,-0.010133,0.008088,4.6e-05,-0.00353,-9.735167,0.099897,0.0,0.0,0.0,0.0,1.0,-0.000192,-0.000159,1.5e-05
721268.0,0.001118,0.000845,0.000393,0.033939,0.021353,-0.011742,0.007326,0.008688,-0.00469,-9.736099,0.097486,0.0,0.0,0.0,0.0,1.0,-0.000234,-0.000184,1.2e-05
721370.0,-0.001326,-0.002515,-0.000523,0.033883,0.022262,-0.002947,0.006578,0.008709,0.003855,-9.742736,0.101117,0.0,0.0,0.0,0.0,1.0,-0.000289,-0.000241,1e-05
721473.0,-0.00102,-0.00221,-0.000523,0.039032,0.022396,-0.002082,0.010747,0.008005,0.004288,-9.739297,0.105497,0.0,0.0,0.0,0.0,1.0,-0.000272,-0.000215,-4e-06
721575.0,0.001423,0.00115,-0.000523,0.034475,0.022438,0.001386,0.005484,0.007282,0.007071,-9.737026,0.104161,0.0,0.0,0.0,0.0,1.0,-0.000244,-0.000223,-1.8e-05
721677.0,0.001118,0.001455,0.001309,0.039145,0.02242,0.011195,0.0093,0.006574,0.01541,-9.743622,0.094485,0.0,0.0,0.0,0.0,1.0,-0.000241,-0.000225,-3.6e-05
721782.0,0.001118,-7.2e-05,8.8e-05,0.039653,0.03268,0.016502,0.008858,0.015603,0.018839,-9.740979,0.094362,0.0,0.0,0.0,0.0,1.0,-0.000228,-0.00022,1e-06
